ArtSpiegelman Maus
BellHooks AllAboutLove
EdwardAbbey DesertSolitaire
Coetzee Disgrace
KatherineDunn GeekLove
RobinsonMarlyne Gilead
VladmirNabokov Lolita
DavidFoster InfiniteJest
TheDivineComedy DanteAlighieri
DonQuixote MigueldeCervantes
EssaysMichel Montaigne
Gilgamesh Mesopotamia
TheGoldenNotebook DorisLessing
GreatExpectations CharlesDickens
Gulliver'sTravels JonathanSwift
GypsyBallads FedericoGarciaLorca
Hamlet WilliamShakespeare
Hunger KnutHamsun
TheIdiot FyodorDostoyevsky
History ElsaMorante
